,comment
28,他担だけどめっちゃ初心LOVE聴きに来てます😳本当に良い曲ですよね☺️デビューまで後もう少しですね😊ちなみになにわ男子の中だったらはっすん推しです💚
29,なんでフルがあるんですか？まだデビュー日になってないのに
30,消されない事を祈る。🙏🙏🙏
31,"なにわ男子さんのこと全然詳しくないのに、NANIWA'n WAYが神曲&神MVすぎて、最初はデビューシングル1枚だけ予約してたけどこの曲聴いた瞬間全形態予約してしまった……！！！！！
これは完全に沼です先輩なにふぁむさんたちよろしくお願いします😇"
32,なにわ男子には嵐やV6みたいに最後まで誰一人抜けないでずーっと仲良しなグループでいてほしいな。
33,"母ちゃんが厳しくていつも1形態しかCDを買ってはいけないという決まりがありました…だから今回も1形態だけ選んだんですが、なんで1形態しか買わないの?!5形態買いなさい!!と怒られました(笑)
母ちゃん完全に沼りましたねw"
34,ジャニーズとか絶対沼らんと思ってたらなにわ男子には沼りましたw これからも推していきます(*´꒳`*)
35,消えた初恋を見て道枝くんを知り、なにわ男子を好きになりました。人生で初めてジャニーズにハマって、それがJr時代から長かったグループだとは思わず色んな部分を含めてもっともっと早くからなにわ男子に出会えていたらと後悔しつつも素敵なmvや動画に出会えて幸せです！ジャニーズを追うのが始めててまだファンの足元にも及ばないけど、なにわ男子の活躍に期待し応援していきます！デビュー本当におめでとうございます🎉
36,はまりたての私にとって自己紹介のMVがありがたすぎる………曲も振り付けも天才的にかわいいし、本当に出会えてよかった
37,なにわ男子売れそうだなぁ
38,(NEWS担ですが…コメントします…)おすすめに出てきて、初めて聞いたけどめちゃくちゃフレッシュだし、楽しい曲ですね！！なにより、なにわ男子のいい所って、キラキラしてる所が良いですね！Theアイドルって感じです！NEWSの次にひっそりと推します☆*。
39,初心LOVEの長尾謙杜くんにとてつもなく惹かれて一気になにふぁむの道を突き進んだ新参者です。男ですが、よろしくおねがいします🤲
40,"ジャニーズの伝統を後世に伝える
グループなんやね
なんかめちゃくちゃ腑に落ちた"
41,"▼10周年ベストアルバム ｢BEST of Kis-My-Ft2｣配信・購入サイト
https://avex.lnk.to/BESTofKis-My-Ft2

「BEST of Kis-My-Ft2」に収録される10周年記念作品「A10TION（読み：アテンション）」の
Music Video YouTube Edit を公開！

「注目」の一つとして、これまで10年間のMVで用いられたセット・美術装飾品・キャスト・振り付けの一部などが、
計53アイテムも今回の「A10TION」MVの中に登場します！
-YouTube Edit-でも30個以上散りばめらていますので、是非何度もチェックして見つけてみてください！

▼BEST of Kis-My-Ft2 予約
https://avex.lnk.to/BESTofKis-My-Ft2

▼【Kis-My-Ft2】10th Anniversary [再生リスト]
https://bit.ly/3eVjzYd

▼BEST of Kis-My-Ft2 アルバム詳細
https://avex.jp/kismyft2/discography/detail.php?id=1018406

▼Kis-My-Ft2 Official Website
https://avex.jp/kismyft2/

▼Official Twitter
https://twitter.com/kmf2_0810avex?s=21"
42,"KAT-TUNの東京ドーム10DAYS公演からずっとKis-My-Ft2ヲタなんですが、
当時中1だったオレがもう25歳のオッサンです。
デビューしてから10年間いろいろありましたがキスマイを好きになってよかったと心の底から思います。

横尾二階堂のキスマイとしてデビューできない疑惑。
デビュー前の震災。からのデビュー日延期。
デビューしても扱いが悪かった舞祭組4人。
大人の事情でSMAPと山下智久としか共演できない。
扱いが悪かった4人に中居正広からの救いの手。
5周年近くに大人の事情でプロデューサーの変更。
恩師、中居正広の退所。

そして、10周年目前に新型コロナウイルス感染症の流行。

決して順風満帆ではなかったこの10年。

だけどもオレが思うのは
最近メンバー脱退や事務所退所が多い事務所ですが
この10年間メンバーが誰ひとり欠けることなくグループ活動を続けたことがすごいことだし
なおかつ日々新しいことにチャレンジしてる姿には脱帽です。

ありがとうキスマイ。

そして
これからもよろしくおねがいします。"
43,嵐の活動休止が宣言されてから、毎日虚無で本当に言葉通り生きるので精一杯だった私に、再び音楽がそばにある幸せを感じさせてくれたのがKis-My-Ft2の皆さんです。ありがとう。もっと早く知りたかったと思うと同時に今出会えてよかったとも思います。30代というのは若さもありつつ色気も出てきて一気に幅が広がる年代です。これからも素敵に歳を重ねていく皆さんを応援させてください。
44,オリンピックの開会式見て、絶対にこの人たちを国立に連れていこう、そう心に誓いました。
45,絶対に7人を国立競技場のステージに立たせる。絶対に。
46,このグループは絶対にトップに行くグループだよ。
47,今日体育祭練習があって今年の開会式の入場曲が「A10TION」でした！！大好きなキスマイがかかってくれて嬉しかったです10周年になってもこれからずっと応援し続けます！！
48,"金スマから来た者です。
ジャニーズ詳しくないのですがキスマイスペシャルずっと見入ってしまいました🥲
お恥ずかしながら初めて聴いた曲だったのですが凄く感動してすぐ検索しました！こんないい曲あったんだなと…
そしてデビュー10周年おめでとうございます👏応援しています！"
49,"元々アニメ界隈にいるオタクです。
宮田くんにはとても感謝しています。
最近キスマイさんの曲を聞き始めましたが、北山さんと千賀さんがとても綺麗な声でびっくりしました。
宮玉3部作も面白かったです。
これからもキスマイさんの曲と宮田くんのお話を楽しみにしています！"
50,"エビ中ファミリーです!
トレンド貢献ありがとうございました!
この恩は忘れません!
そしてA10TIONいい曲☺️"
51,"9月15日(水)発売
 ｢Fear / SO BLUE｣配信・購入サイト
https://avex.lnk.to/KMF2_Fear_SOBLUE

9月15日に「Fear / SO BLUE」の両A面のニューシングルをリリース！
＜通常盤＞に収録される「Fear」のMusic Video YouTube Editを公開！

10周年を迎えたKis-My-Ft2が魅せる新たな表現に注目！

▼【Kis-My-Ft2】10th Anniversary [再生リスト]
https://bit.ly/3eVjzYd

▼「Fear / SO BLUE」商品情報
https://avex.jp/kismyft2/discography/detail.php?id=1018542

▼Kis-My-Ft2 Official Website
https://avex.jp/kismyft2/

▼Official Twitter
https://twitter.com/kmf2_0810avex?s=21

▼Kis-My-Ft2 LINE MUSICアーティストページ
https://lin.ee/tUEodmO/lnms"
52,格差に耐え切れず離脱した元オタクだからこそ、圧倒的に上がった歌唱力とか格差の無くなった感じがグッとくるし、やっぱり好きだなぁと思う
53,軽い気持ちで見ていたただ離婚してないだけですが、のめり込んで一気に全話見ました。北山さんの演技のうまさに惹かれまくりでした！
54,"UTAGEで歌う舞祭組と全然違うじゃない！！
千賀君の歌唱にビックリして（千賀君のファンの方ごめんなさい。）毎日ここに観に来てしまうほどこの曲に嵌りました。


いやぁもう、CD買っちまおうかなぁ～。"
55,ラブバイの”愛”とfearの”愛”のどちらの愛も表現できるキスマイやべぇな。
56,"エビ中ファミリーです🙇‍♀️
今初めてA10TION聴いて、早速この新曲も聴きにきました🎧メンバーの表情にドキッとする場面が幾つもあって素敵でした...！"
57,キスマイ全然詳しくないけどこの主題歌好きすぎて録画毎回飛ばさずに聞いてる
58,"えび担です！
いい歌すぎて買ってしまいました❤️
北山さんカッコいい❤️
ドラマも毎週見てます！
最終回楽しみ😏"
59,"5年前くらいに受験を理由に離れてしまったのですが、昨日の金スマ観て、出戻りを決意しました。
学生の頃みたいに全てを追っかける余裕はないから自分のペースで応援していきます。
やっぱり好きです。"
60,"この曲、めちゃ好き。
ドラマを思い出すけど、この曲に完全にハマってます😋
ドラマは怖いけど、この曲は何か落ち着く😊"
61,AKB全盛期と張り合えたのは本当に凄いと思う。
62,水色の子の｢狙い撃ち｣が何度聴いても鳥肌立ってやばすぎ、惚れた…。
63,メジャーデビュー曲でメンバーの名前入れたのマジで頭いいと思う。
64,"事務所の力もなく、AKBがゴリゴリに幅きかせてる時代に、たった6人で真っ向勝負を挑んでたんだぜ…？
いま思うと凄いよな。"
65,"早見あかりが本当に綺麗…
アイドルのイメージが定着する前に女優に転身したのは本当に正解だと思う"
66,こんなに昔からアイドルやってんのに、今でもドームとかを満員にしたり、チケットの争奪戦が起こるとか凄すぎだなぁー
67,"全ドルオタの中でこれ歌えない人いないんじゃないかレベルで有名だよねこれ、、
私ももクロかじったことも無いし全員の名前言えないけどこれは踊れるし歌える
ドルオタの校歌みたいすごいほんとに"
68,当時は気付かなかったけど今見ると全員めちゃくちゃ可愛くて顔面レベル高いやん…
69,明るい曲なはずなのに、何故か寂しさも感じる最強の歌
70,"高校の音楽の教科書にAKBといっしょに
この子たちが載ってました！
本当に平成を代表するアイドルなんだと思いました
令和でもずっと輝き続けてください！"
71,"Check Out in below link! 
https://cho-toki-sen.lnk.to/sukisukisukisukisukisuki"
72,"私、韓国の中学生なのに
TikTokのおすすめで聞いて
""やばっw歌いいじゃん""て思って
ここまで来てしまいましたww"
73,こういうミニスカでフリフリな「アイドルこそ着れる衣装」のアイドルって最近少なくなってきてるからすごく心に刺さります🥺💕
74,"스키 말고도 좋은 노래 많아요!! 많관부
저는 7月のサイダー(7월 사이다)랑 エンドレス(endless) 추천해요"
75,일주일째 보러 오고 있다... 중독성 미침
76,CONGRATULATIONS ON 3 MILLION VIEWS 👏👏👏👏👏
77,이거 아무리 들어도 최애를 향한 내 마음이라 계속 듣게됨
78,이 분들 한국어로 영상편지도 쓰셨던데..해시태그도 한국어로 달아주시고 해석도 너무 귀엽게 해주시고 다 호감이다..응원할게요🥰
79,あんまりザ・アイドルみたいな曲が昔から好きじゃなかったのにこの曲はいつまででも聴いてられる！！可愛いし歌詞にも共感できるし歌めちゃ上手いし本当にすごいなと思いました！
80,可愛くてふりふりで可愛いだけじゃなくて力強くて一人一人が引き立っててアイドルの理想像って感じがする！！🥰
81,"すきっ！〜超ver〜の音源はこちらから♡ 
https://cho-toki-sen.lnk.to/sukisukisukisukisukisuki"
82,aaaaaannnnd it's been days. it's still stuck in my head. i can't stop listening<3
83,when I'm listening to this song I feel excited every time.
84,"I love this song, so many key changes and little weird tones.
The structure of the song is not easy to remember as well, very unique."
85,"One of the best J-Pop song and band I’ve heard!!! 
Keep it up Girls!!!🥰🥰"
86,ちゃんとTikTokでの流行を察知して、古いMVしかないって問題を解決して、とき宣の運営めっちゃ有能だと思う！！好き！！！！！！！
87,I’m quite shocked with the original beat is slower than what I usually heard on Tiktok 😅 But still… love this song 👏👏👏
88,"I just discovered this song recently and I love it! 
It’s so cute 💗⭐️⭐️"
89,"If this was an anime op, I would never skip it"
90,I actually search this song with 'suki suki suki'  😂 It's the first time I hear the full song and this song is a wholesome fluff♡
91,コピー機の前でパンチしてるみなみ可愛い🤛
92,ナナランドがOLになったり、ボクシングしたり、意外な組み合わせばかりでおもしろかったｗｗ
93,れいなちゃん煽る表情上手すぎる。あとシンプルに良い曲
94,"すごい！めちゃくちゃ良い！
みなみちゃんかっこいいね！"
95,月ちゃんの連打からのアッパーが最高でした！
96,みなみなにしててもかわいいよ〜😭🥇🧡
97,"Great energy and fun MV, well done!"
98,MV最高にかっこい〜観てるだけでパワーがみなぎってくる👊😉♫
99,この曲、イントロ聴くとめっちゃ盛り上がるんだが。間違いなくライブで最高に上がるよね‼️こまきち、バリ可愛い😍
100,OL姿は可愛すぎる🙌🏻好き
101,"メンバーも曲も最高♪
ナナランドさんの高い位置での安定感素晴らしいです！"
102,こまきの笑顔たくさん見れるから元気になれるMV〜！
103,みんな笑顔がよくて元気が出るMVです
104,メンバーそれぞれの個性、カラフルな世界観、なにより最高にかわいいので大好きです！
105,みんな笑顔が素敵可愛い大好きありがとう😭月ちゃんとれいなの歌声好きだ〜
106,可愛らしさがいっぱい詰まってて最高です‪⸜(*ˊᵕˋ* )⸝‬
107,"みんな可愛いし、歌もめっちゃ好き！
結果 最高！！！！！"
108,神曲すぎるし歌詞良すぎるしMVみんな可愛すぎるしなんやこの曲！！！！！
109,こまきちゃん可愛すぎて毎日見てます(*^^*)
110,MV衣装みんな似合ってて良き！
111,"アカリンが白・光・可愛いNMBを残していったのに対し、
みるるんの黒・影・カッコイイNMBを最後に作っていったの、
最後の1期生2人が見事に対称的で、けどそんな様々なメンバーたちを丸ごと魅力にできるのがNMBで
これからも、もっとずっと魅力的なアイドルであってほしいなと思いました"
112,ラピスの３人の中であーやんここながぐいぐい推されてたから、れーちゃんがこの曲でフロントになってくれた事がほんまに嬉しい😭
113,"NMB最後の1期生 美瑠の成長みてると泣ける
あんなに妹だったのに、こんなに後輩携えてキレキレで踊ってて、、😭
あんちゅの初選抜も嬉しいし、MVで美しさ爆発してるし、、😭
NMB48は最高ってことか😭😭"
114,ずっと乃木坂オタなんですけどNMBめちゃめちゃ好きです。。😍
115,"最後の1期生。
みるちゃん、NMBを沢山愛してくれてありがとう。"
116,NMBの攻め衣装というか、ギラギラなかっこいい、でもお上品な衣装を見るのが久しぶりな気がする…！美瑠ちゃんの雰囲気にも凄くあってて素敵すぎる！卒業悲しいけどNMBのこれからの活躍も期待してます！
117,"彩度高めでレアな質感のMV。なんかとてもみるるんぽいPV。
スミスさんが監督。前回のアカリンのシングルと同じで植物たくさんだけど、全く違う感じで素敵すぐる・・・！
たくさん再生するぞー！！"
118,"2:29  あたりからのダンスシーン、昼と夜で変わってるのに振りも立ち位置も全くズレてないの、NMBだから出来る技すぎませんか…？
ナンバトルがあったから今までよりさらに綺麗になってる気がする😭最高😭"
119,"“だってだってだって”で、ラピスの2人がセンターに選ばれてれーちゃん😢😢ってなってたけどこのシングルで良いポジション与えてもらって嬉しい😌💗💗
みるるんの卒業寂しいけど良い曲で嬉しい🥲💕
あんちゅの初選抜も嬉しいっっっ🥲💕
嬉しいがたくさん詰まったMV最高です🙈💗
NMB箱推しだから一人一人映る度に、この表情良い！ここ可愛い！素敵！大好き！ってなるから忙しい😇😇😇"
120,れーちゃんがたくさん映ってる🥲 可愛いも綺麗も全部あってこのMVで色んなれーちゃんが見れて嬉しいなぁ🥺
121,"This is last single to  yamamoto sayaka (the center),  because she will be graduate"
122,このMV観れば観るほど、今のNMBにもうさや姉はいないけど、さや姉がここまで愛したNMBをこれからも応援しようって本気で思う。
123,失礼だけど48グループってソロパートがほとんど無くて皆同じような声に聞こえてたけど彩ちゃんのソロパートって本当に個性的でかっこいい
124,2:29 NMBではあんまり涙を見せなかった(多分見せられなかった)さや姉がゆいはんの前では珍しく号泣してたこのシーン。何年経っても大好き。
125,全員めちゃくちゃ揃っててさすがNMBと思ってたらめちゃくちゃ泣けてきた
126,ダンスが得意なメンバーが次々に卒業してしまったとはいえ、全体的なダンススキルが高すぎる。入ったばかりのメンバーもたくさんいる中で揃いすぎ…難波凄い…
127,さや姉がNMBのオーディション受けてくれてほんとに良かった。じゃなきゃこんな良いグループになってない。
128,"なんであかりんだけ白タイツ履いてるんだろって本気で思ってた。

素の色だったわ。綺麗すぎやろ。"
129,7時間で振り入れたと聞いてNMBの強さを感じた
130,"さやねぇ、バッサリ髪を切った時期もあったけど、
デビューと卒業はロングなのね
個人的にすこです。"
131,ビヨの普通曲の期待を一身に背負ってるカゴメさん
132,（　…事務所さん…、聞こえていますか…どんな手を使ってでも、ビヨの曲をNHKみんなのうたで流すのです…良質でヘンテコキャッチーな楽曲でちびっこを釘付けにし、アイドルだけどクリーンで親御さんも安心、運動会でも使われちゃった、みたいなポジションを目指すのです……   ）
133,ビヨのMVのコメント欄いつも大人が泣いてる
134,"「頑張るときは一緒」
シンプルな歌詞だけど不安に押しつぶされそうな私にジャストミートで聴くたびに涙出る。ビヨがいる世界で良かった。"
135,女の子たちが健康で可愛い、結局はこれが最高なんよな
136,もうBEYOOOOONDSが「野菜生活100」の宣伝をしているのか、「野菜生活100」がBEYOOOOONDSの宣伝をしているのか分からなってきたけど、両方とも好きだから問題ないわ。
137,通常のハロプロなら間違いなく野菜の着ぐるみ、カゴメさんありがとうございます……
138,"ハロプロだけでなくアイドル全体でこういう明るめの曲が減ってきている中で
ビヨーンズはほんと貴重なグループだよ
あぁ可愛い"
139,"こういうヘルシーメイク、高瀬くるみが大優勝してて大好きが止まらん
みんな可愛い…ありがとうKAGOMEさん…野菜生活飲みます！！！！"
140,"今回の曲がアイリッシュ調なのって、アイリッシュダンスがもともとのルーツ的に腰に負担がかかりにくい動き→ももひめのため…？って勝手に想像して泣きそうになってる
ビヨはやっぱりこの12人全員の全開笑顔が最高なんだもん"
141,2:12 「辛辣な女だもん」の岡村美波さん、まっっっっっっっっっっっじで大好き
142,"いっちゃんが辛いの紙を破るシーン
一枚しか用意してなかったから
一発勝負で、
緊張の中結構な勢いで出て来て
江口ちゃんが笑いそうになったけど
我慢した、、と裏話聞いて確認しに来たら
夢羽とみいみがもろ笑ってて草"
143,ビヨの凄いとこはこれだけ人数いても多いと感じない所。誰もやめてほしくないしずっとこのメンバーでいってほしい。最高のバランス。
144,"ローソンで流れてて
ハロプロっぽいという印象と「底なし沼に」というフレーズだけでここまでたどり着いた僕をだれか褒めて？？"
145,一番では「嘘も言わない」って言ってるのに二番では「嘘言っちゃった」のかわいい。「あなたは私の虜になる」が「私はあなたの虜になる」もそうだし、全体的に余裕がなくなってるのがかわいい歌詞だな〜
146,"首なんか動かしてなかったであろう、ピアノ一筋のお嬢様だったほのぴが、アイソレーションを難なくこなしているのにすごく感動する。
なんでも一生懸命な人だ…"
147,今回の桃姫talk boxフィーチャーといい、ほのぴのピアノといい、ビヨーンズの製作スタッフには「特定メンバーを推すより、全員をよく見せよう」って言う気持ちがあってほんと素晴らしい。逆にファンは推しがなかなか決まらないって面もあるけどw
148,"TSUTAYAの有線でめっちゃ気になって…
「虜になる」で検索しても出てこなくて「アイドル 新曲」で出てきた
めっちゃ頑張った…"
149,職場の有線で流れてて何の曲かわかんなくて知恵袋で聞いてみたりSiriちゃんに鼻歌聞かせたり｢サビ:でも〜でも〜」とか「わたしの虜になる｣で調べたけど出なくて1ヶ月経った今やっと見つけた
150,カラオケに本人映像を出してくれてありがとうございます！！！！！！！！！！友達の前でこれ歌ったら最初は「変な曲www」と言ってたのに帰る頃には自発的に口ずさんでました
151,GREETINGS  FROM  POLAND  🇵🇱 💛
152,なんとも言えぬ凄さ、迫力、パワーを感じて、オリジナルを聴くだけでこんなに魂が震えるのにライブで生で聴いたら泣き崩れてしまうんではないかと思うくらいの名曲です。。。🥲
153,"歌詞です

さよなら　また　笑顔で会える日まで
言葉は　いま　空と舞い散る風
あの日の　夢　まだここにあるから
忘れない　でも　もう歩き出さなきゃ

透明な世界には　曖昧な答えだけ
溢れ出す涙には　それぞれの理由がある
今日もまた変わっていく　見慣れた景色から
消えていく泡のように　優しさを残したまま

遠くで　ほら　僕らを呼んでいる
未来は　きっと　この先にあるよな

透明な世界でも　小さな希望探す
照らし出す道標　それぞれの足元に
日々迷い揺れながら　寄り添い合って歩いた
もう一度　約束を　優しさで結んでいく

響き合い重ねた想い　僕らは「またね」って叫んだ
変わり続けていく世界に　恐れないで　繋いで　信じて

透明な世界には　曖昧な答えだけ
溢れ出す涙には　それぞれの理由があるから
今日もまた変わっていく　見慣れた景色から
消えていく泡のように　優しさを残したまま

透明な世界でも　照らし出す道標"
154,"This song is really beautiful, very soothing"
155,今までリトグリ自体聴かなかったけど、『半妖の夜叉姫』見てたからエンディングがリトグリとわかって今じゃ、何回もリピートして聴いてる。キレイなハーモニーがいい♪( ´θ｀)
156,"５人で「透明な世界」すごく素敵です
透き通った声のmayuさんメインだったら…また違う「透明な世界」なんだろうな…
……聴いてみたい…"
157,"「歩き出さなきゃ」のところのまなかちゃんの声がめっちゃ好きです！
毎回、サビがくる一歩前で興奮しちゃいます😁"
158,まゆちゃんのハモリももちろん大好きだけどメロディライン歌うまゆちゃんほんとに素敵！かっこいい！︎︎☺︎︎︎☺︎︎︎☺︎
159,"かれんの、""未来はきっと""の""きっと""のぎゅっとした歌い方がほんとに好き、、
今年に色々あってからみんなの感情表現を歌にのせるのが上手くなってて、リトグリは常に成長してるんだなって改めて感じる。"
160,"本当に難しい曲だと思います。難なく唄うリトグリ凄い‼️
ライブの生唄最高でした。他の曲もそうですが、聞けば聞くほど心に響く歌声と曲ですね！
本物のアーティスト❗"
161,先日亡くなった父がデビュー直後に見つけ出してきたリトグリ。父は最期の最期までリトグリが大好きで、私の複雑な思春期も、父の苦しい闘病期間も、約7年いつでも父との共通の話題でした。ありがとう。これからも応援します。
162,歌でカバーしきれないと言うけど、MAYUが歌うVIVAの落ちサビ、最高だと思います。魂で歌ってる感じがする。
163,"ライブの最初　一人ひとりステージに出てくるシーンで毎回泣けてくる😢
私だけかな?"
164,"20:26 
あんまり見ないMAYUの涙だからこそ、泣けてしまうなぁ
周りをよく見て考えて考えて、チームのために頑張る、そんなMAYUが私は大好きなんだーー"
165,20:46 泣かないでまゆちゃん…そんなことないよって言われたいわけじゃないって言ってるけど、絶対そんなことない…まゆちゃんだって尋常じゃないくらい頑張ってる…
166,"MAYUの歌声ちゃんと届いてるよ🕊
いつも素敵な歌声をありがとう💚"
167,まなかの声めちゃくちゃ調子いいね！！！！デビュー時みたいな力強さが戻ってきたところに、歳を重ねての表現力がついてきてていい感じ！！！
168,"20:47 MAYU、絶対にそんなことないです！
でも、そう思ってしまう責任感の強さ、メンバー想いなところがMAYU推しにはたまらないところなんだけどね😭"
169,"ライブ行けなかった身として、元気な芹奈見れて本当に嬉しい❤
芹奈、帰ってきてくれてありがとう😭
そして4人はリトグリを守っていてくれて本当にありがとう😭
リトグリに出会えて本当に良かった。"
170,Hello! Is there anyone who could summarize in English what they said in the personal interviews?
171,"知ってる人は知ってると思うけど、
Lilのダンス・歌唱力の上昇がえげつない
数年前はほんとにこのグループ大丈夫かな、って思ってたけど、ここまで上手になるって、並大抵の努力じゃないと思うし、ほんとにすごいグループだと思う"
172,少クラで初めてこの曲聴いて、りるみらくるからの振り幅凄すぎて気になり始め、YouTubeの寝起きドッキリで完全に沼りました。全力で推します。
173,ジャニーさんが亡くなる前にグループ組めて良かったよね。ジャニーさんが亡くなった後だったら逸材が埋もれるところだった。
174,"嶋﨑斗亜さんの表現者たるや……
しなやかで指先までしっかり神経尖らせて綺麗に魅せる踊りをしてて、世界観入りすぎてたまに目が逝っちゃうのも可愛い、出だしも紙吹雪も相まって素敵な世界観がスタートしてるの嶋﨑斗亜しか出来ない領域……"
175,"風雅がこんなに踊れるとは…
ちょっと前まで緩いと言うか、悪く言うと手を抜いてる様に見えるダンスで、まだ恥ずかしいが勝ってるのかなって思ってたけど、「忘れてかけた勇気も」のトコ最高だった！"
176,え、あれ？あれ？これ、りとかんですか、、？あの、仲良しふわふわ癒しな可愛い男の子集団りとかんですか、、、！？こんなにバキバキ踊れてお洒落な曲を歌いこなすなんて、、、沼じゃん、、
177,"2:29
入所した当時ダンス経験が一切なくて、人見知りで誰にも｢助けて｣って言えなくてグループ内でもダンスでピックアップされないしセンターに立つことが圧倒的に少ないこたちゃんが間奏のがっつり踊るパートでたった数秒だけどセンターに立っていることに感動して泣き崩れた
確実に努力の成果出てるよ、かっこいいよ(泣)"
178,"るうくくんがラップを始めてから、りとるに歌ってほしい曲の幅が広がりました！！
頼もしい最年少....！"
179,"最近リトかんが気になっている者ですが、彪太郎くんの声が好きすぎる！
透き通っててちょっと切ない感じがかっこいいです！！もっと聞きたい！"
180,"定点(DANCE SHOT)待ってます。
定点(DANCE SHOT)待ってます。
定点(DANCE SHOT)待ってます。

※大切な事なので三回言いました。"
181,スタッフさんがだれに寝起きドッキリやらせよう…って考えた結果、えらばれたのが最年少ってとこが1番おもろい
182,"こたちゃんが頑張ってガチギレしても全然怖くないのは、普段から優しい証拠なんだろうな〜笑笑
そして最後まで気づいてないニシタク可愛すぎる笑笑"
183,"彪「2003年生まれ4月19日ぐらい..やろ？？」
拓「そうっすね、、」
彪「先輩やろ？後輩になにやってんねん」
口調が矛盾しすぎててめっちゃ笑った"
184,"ステージではアイドルやのにしっかり修学旅行中の男子高校生って感じでめっちゃかわいい、、、、、、、
てか、、寝起きから王子様、、、、、🥺💞"
185,"るーく君の適応能力がすごい

あと斗亜君の何が生まれるん？って言いながらも完璧に踊るとか最高
同時に彪太郎君と風雅君もいたのがりとかんの仲の良さがでてたし　寝起きドッキリも一筋縄ではいかない感じも関西らしくて好き

急遽ニシタクへの逆ドッキリも最高でした"
186,こたちゃんが優しすぎて、にしたくが全くビビってないから風さんが「ガチギレやんガチギレやん」って言ってあげてるとこ良さが滲み出てた、、
187,"15:14
水鉄砲が1番渡してはいけない人の手に渡った時、緊張感が走った"
