,comment
31,J-POP史のなかでも事件と言っていいぐらいの画期的な名曲。ダンスミュージック好きの間ではよく言われているけれど、２ステップとディープハウスが一曲に同居してジャジーなコード進行もあってそれが見事にまとまっているっていう、こんな力技、ジャニーズにしかできない。そしてSexy Zoneの声やボーカルスタイルにぴったりで、彼らが実力で引き寄せた曲だと思えるから、ますますうれしいです。振付もすばらしい。こんな風景を見られるようになって、ずっとファンをやってきてよかったです。
32,せっかくクオリティの高い楽曲を精力的にリリースしててジャニーズファンだけでなく音楽ファンにもアプローチできるのに、サブスク出してなくて機会損失してる気がしてもったいない、、
33,はあ、この曲テレビで披露するの少なかったのほんとに勿体無く感じる、、、もし機会があればぜひテレビでたくさんやって欲しい。セクゾはカップリングにもライネクみたいな英語詞の曲とかお洒落な曲とかあるけど表にあんまり出してないのが悔しい。。。
34,"他G担ですが、全世界中の人が見るべき聞くべき曲だと思います！！
曲もダンスも全てが最高！
見る度聞く度そう思います。
もっと広まってほしい(;_;)！！！"
35,発音の耳馴染みの良さ、全ての所作に共通する清潔感、何度聞いても美しい
36,他G担だけどセクゾはもっと売れるべきだと思う
37,"もっとテレビで披露するべきだと思う！！！！！！
セクゾのかっこよさに全人類が気づくから……"
38,"カッコいい人達がカッコいいパフォーマンスをすれば、めちゃくちゃカッコいいMVになることは必然なんだと改めて実感した
SexyZoneのこういうパフォーマンスをこれからももっと見たい"
39,SZは、皆んな歌が上手いから、安心して聴いてられます🥰
40,"発売してから2年しか経っていないが、すでにセクラバの中では、ライブど定番となった「恋はじ（恋がはじまるよー！）」がこの世（YouTube）に解き放たれる時が来たのか！！💓💓💓💓💓
いつか5人でこの曲を披露し、可愛さの渋滞になる日を夢見て。"
41,"かっこいい「RUN」からのかわいい「恋がはじまるよー！！！」
これだけでも、SZの素晴らしい表現力が伝わるね！"
42,"恋がはじまるよーー!!!
一緒に踊ってめちゃくちゃ元気になる曲
大好きです！！！！！"
43,恋がはじまるよーー!!!からのチクチクハートまでの流れが最高に好き。振付も可愛い(^o^)♡♡
44,ちょっぴりギャルめで青春を思いっきり楽しんでる女の子視点の歌詞をSexy Zoneが歌うの最高。恋はじ大好き
45,"恋がはじまるよーー！！！だ！！！
これだいすきだから嬉しすぎる🤦🏻‍♀️💞"
46,この曲もっと色んな人に知ってもらいたかったから嬉しい💗
47,"恋がはじまるよーー！！！
が来るとは思ってなかった！楽しみーー！！！"
48,"SZ大人になってカッコイイ曲が増えてきたけど、昔から可愛い曲 沢山歌ってきたし
可愛い＆キラキラが似合うグループだから
SZをあまり知らない方にも是非見ていただきたい！！😌✨選曲神です！！"
49,"シングル曲だけじゃなくアルバム曲もティザー映像で出してくださるの嬉しい😆🌹
恋が始まるよーー！！！は可愛いSZを見てもらえるからたくさんの人にキュートさが届くといいな💘"
50,"竹内まりやさんが、
「37年も前に書いた曲を、女性アイドル・グループの実力派Juice＝Juiceに歌っていただける日が来ようとは！」
とコメントして下さっていて、juice=juice familyの一員として感激しています！"
51,これで初めてJuice=Juice 見て、金澤朋子さん推したい！ってなってたのに卒業決まってて、この気持ちをどうしたら良いか今でもわからないです。
52,"for new fans! (:
0:30 - Ebata Kisaki
0:39 - Kudo Yume
0:48 - Irie Risa
0:57 - Dambara Ruru
1:06 - Inaba Manaka
1:15 - Kanazawa Tomoko (Leader - Graduating November 24th)
1:23 - Inoue Rei
1:33 - Arisawa Ichika
1:56 - Uemura Akari
2:10 - Matsunaga Riai"
53,なんだかんだでJuice=Juiceはオリメン全員卒業してもJuice=Juiceらしさ消えないまま継承されていきそう。
54,Future  SmileのJuiceらしい強い女感、Familiaのファミリー感も好きだけど、毎日聴いちゃうのはこれだなあ……耳がひたすらに心地良い
55,この人達を知らないが、このカバー曲を毎日聴きに来てしまう。
56,つい最近新しい子が入ったって見たと思ったらもうこんなに仕上がってんのかいな…全員毎秒ビジュアル仕上がっててすばらしい
57,"またカバーかぁ〜って思ってたけど最高やないかっ！笑上手いのはあたりまえ。一人一人のクセ声(個性)がたまらんなぁ…新人たちが堂々としてる。そして輪郭が曖昧な画質でも先輩達は流石の華とツヤがあるなぁ。
はぁ。書き終えたらリピートすっか笑"
58,カバーなのに誰も文句言ってないの凄い…しかもjuiceの雰囲気に合いすぎ。音使いも凝ってて綺麗。あと瑠々ちゃん初期のモーニングにいそうてカッコいい！抱いてHOLD ONMEとかの衣装着せてみたい(笑)ショートカットヘアもカッコいいですね☺️
59,竹内まりやさんの曲で1番好きなんですが、Juice=Juiceがめちゃくちゃ仕上げてきた新人の戦闘力をそこはかとなく見せながら歌ってくれるのほんと好き この路線は定期的にやって欲しいです！！
60,もうジュースってよりワインじゃん笑笑
61,"個人的にれいれいが
Juice=Juiceとして正式に力を
発揮した作品かなと思う"
62,"juiceは骨格まで美人が多いから憧れる。
何回も言うけどゆめりあいって成長期という太りやすい時期にも絶対ビジュアル崩さないの本当に尊敬する。"
63,"こういう人生はSTEPみたいなオトナな感じが背伸びに感じないのがすごいなJuice=Juiceは。
℃-uteは解散しちゃったけどこの系統の℃-uteの続きがあったとしたならそれに近いもの見せてくれるかもしれないこれからのJuice=Juiceが😌"
64,やふたこが風神雷神してるところと背中合わせで手を繋いで歌うシーンめちゃくちゃいいよな、、、
65,"1:23 ここの構図完璧すぎる

2人とも1人でも強いんだけど、2人合わさると真価を発揮するというか、すごいね"
66,"れいれいの低めでレディ感あふれる歌声が好き
るっるの喉がちゃんと震えてるのが伝わる歌声が好き
朋子のハスキーな裏声が好きだった
りあいちゃんの癖がなくてめちゃくちゃ安心できるのにパワーに溢れる歌声が好き
まなかんのあざとい声質が好き
個人的な好みだけど"
67,れいれいの、「笑顔に続くでしょう」からの盛り上がりが素敵。
68,"ビヨもそうだけど、やっぱり曲中に楽器演奏入るとめちゃくちゃかっこいいな。

やふたこの背中合わせもすごく良かった。

衣装と背景の赤がこれまでのかなともの頑張りを労うのとこれからの活躍を願ってるようで涙が😭

素晴らしいMVでした👏🏻👏🏻"
69,卒コン終わった今ふと思ったけど、研修経験のある有澤さん江端ちゃんはともかく入江さんがjuiceに入って特に悪目立ちする事も無くやれてるのって実はめちゃくちゃ凄いと思う。
70,"イントロを聴くだけで切ない気持ちになる。
通勤していても、電車の中でも、
街を歩いていても、宇多田ヒカルの世界に浸る。天才としか言いようがない。"
71,"Agradezco tanto a Kingdom Hearts por hacerme llegar a ti. Estoy tan feliz de poder escuchar música tan genial como la tuya, se me reinicia la vida, es como una bocanada de aire fresco cada nueva canción, e incluso cuando vuelvo a escuchar los discos anteriores. Gracias por ser una fuente tan grande de inspiración y buena vibra. Un abrazote desde México.

I'm so grateful to Kingdom Hearts for making me reach out to you. I'm so happy to be able to listen to such great music like yours, it reboots my life, it's like a breath of fresh air every new song, and even when I go back and listen to the previous albums. Thanks for being such a great source of inspiration and good vibes. A big hug from Mexico."
72,"The melody, the voice, everything. Utada is pure gold."
73,"Not even embellishing, my pop queen. She makes dance, she makes me feel. I been listening to her for damn almost 20 years! She has never let me down, but always brought me back to ancomfort zone which never fails to surprise me. True soundscape"
74,"この人の曲は本人に魅力があるからこんなにも切なくて惹かれるんだろうか。
歌姫という括りでは語ることができない、まさに天才。"
75,"When you need music that reaches right to your soul, there is always, always, Utada Hikaru"
76,"No sé japonés, pero esta canción me gusta mucho, siento los sentimientos, las emociones, las vibras <3 <3"
77,"Meu Deus que perfeição, é tão bom ver o sorriso da hikki 💗🙏🙌
my god what perfection to hear your voice, and it's good to see hikki's smile 🥺"
78,歌い方、声、音程、曲調、歌詞、すべてが絶妙で最高なバランス。宇多田さんしか歌えない歌って感じがする、、、、多分違う人だと、こんなに心に染みてこない。本当に天才だと思う、、、。癒やされるのにドキドキするこの感じ、、、、素敵な曲！！
79,Очень круто!
80,自然と体がリズムに合わせて動くし聴いててリラックスできる🐻✨
81,"🧸 *Track list:*

01:39:51
リピート再生して広告を全てスキップ /  Play on repeat and skip all ads

00:00　First Love

04:18　Automatic

08:46　光 [Hikari / Light]

12:56　あなた [Anata / You]

18:07　初恋 [Hatsukoi / First love]

22:55　Time

26:35　This One (Crying Like A Child)

31:09　Apple And Cinnamon

35:50　Me Muero

39:16　Taking My Money Back

42:30　COLORS

46:39　Goodbye Happiness

52:15　HEART STATION

56:50　Prisoner Of Love

01:01:42　SAKURAドロップス [SAKURA Drops / Cherry Blossom Drops]

01:06:40　Wait & See ～リスク～ [ Wait & See _Risk_ ]

01:11:38　Can't Wait 'Til Christmas

01:15:18　DISTANCE
(Cover by Megpoid+GUMI:  https://sp.nicovideo.jp/watch/sm12166260
Original: https://youtu.be/jI5N4dStkv0)

01:20:48　Merry Christmas Mr.Lawrence - FYI

01:24:36　Come Back To Me

01:28:55　Easy Breezy

01:32:09　You Make Me Want To Be A Man

01:35:54　Blow My Whistle


🧸 *Official site / SNS:*

Website: https://www.utadahikaru.jp
Twitter: https://twitter.com/utadahikaru?s=09
Instagram:  https://www.instagram.com/kuma_power
YouTube: https://youtube.com/user/hikki"
82,この世とは思えない程いい歌声
83,I'm so in love with this song
84,I really like her so much. Her voice is incredible. Stunning!
85,"i love this artist, i love her voice, hope understand japanese someday..."
86,"やる気ないとき、イライラするときすごく落ち着く
歌も声も大好きです"
87,"歌で人を救い、歌で人を奮起させることができる数少ない永遠の歌姫に感謝しかない
ありがとう"
88,宇多田さんの歌声を聴くと、何故か身体が震えるんです。そして涙が出てくるんです。
89,引き込まれるような美声と歌唱力。コンサートがあれば見に行きたい。
90,Listening to this while Feeling empty inside after watching the movie. What a god damn ride it has been...
91,Как же это было захватывающе и красиво.
92,"Desde México. Una gran canción, para la mejor película, aplausos. Gracias por darnos tu talento, felicidades."
93,"I've been a fan of her since I heard her song ""Travelling"" in 2001. Rediscovered her again with this absolutely awesome song. The music, the beats, and the vocals are always a joy to listen to."
94,"歌詞が本当に才能の塊。
最後の歌詞の比喩とか鳥肌。
歌唱力、作曲能力はもちろんだけど、宇多田さんの作品は本当に詩が神がかってる。"
95,"This song doesn't feel like an ending song even though it sounds at the end of the movie. This song feels like a new beginning, a new life, a new genesis. This movie is full of hope and love for the future."
96,"この人の声って何でこんなに心震えるんだろう
囁いてるだけなのになんでこんなに心の奥底にまで届くんだよ"
97,THS IS THE BEST ANIME ENDING EVER
98,"「誰かを求めることはすなわち傷付くことだった」
エヴァという作品を一文で表現してしまう天才"
99,"最後のエヴァなのにやけに落ち着きすぎている曲だなって思ってたけど劇場でこれが流れた時鳥肌が凄かった
美しく静かに終わっていくんだなあと
沁みるな"
100,今年のハロプロも名曲が多いですが、この曲は特に個人的には超ヒット作です。毎年こういうハマる名曲がでてくるので、ハロプロはやめられません。
101,このグループのこと全く知らないけど全員の声質良すぎない、、？
102,"丁度この間ふられて、数日間本当に病んでたんですけどふとこの曲聴いたら、最初に聴いたときの数百倍心に響いて、人生に必要な曲だと気づけてよかったです
ありがとうつばき、ありがとうハロプロ。"
103,バイト先で流れてていい曲だなと思って聴きにきました
104,ハロヲタやめて2年経つけど店内で流れてるの聞いて調べたらつばきだった。またハマりそう
105,仕事場で流れるとテンション上がるくらい好き
106,"こういうシティポップ的な大人っぽい曲も好きです。
表現の幅が広がって嬉しい。
この路線、もうちょい続けて欲しいぞ。"
107,1:18 で、この歌声は誰だ！？となった後に結心ちゃんが答え合わせのように出てくるの最高すぎる演出。
108,新メンバー加入きっかけで、つばきにハマり出した。。。
109,"生バンドで
ハロコンやんないかな･･･
っていうくらい、
オケがかっこいい。"
110,きしもん以外の既存メンバーが新人メンバーに歌唱力で押されちゃってるのがライブだとかなり浮き彫りになってるね…双方いい刺激になって最強のグループになるといいね！
111,新メンバーがハイスペックすぎて震えてる。こんなに大成功なオーデあった……？
112,"ハロのどのグループもそうだけど、新人ちゃんが新人じゃないくらいの完成度で初ライブしてるのほんとすごい。
どれだけの努力をしたんだろうって毎回思う"
113,河西ちゃんはヒロイン少女な歌声、八木ちゃんがドラマチックな魂の歌声、真凛ちゃんはファンシーメルヘンな歌声、豫風ちゃんが正統派アーティストな歌声って感じ。ほんとに物凄くバランスの取れたメンバー達だよね。大好きです！！
114,るのちゃん本当に歌を歌ったりステージに立つの好きなんだろうな〜るのちゃんのパフォーマンス見てると自然に笑顔になる
115,"最後の八木ちゃんはまりすぎててびっくりした。
声質も声の出し方もだし、表情もめちゃくちゃよい。
新メンバーそれぞれ良い所ありすぎて誰を推したらいいか分からない(´°̥̥̥̥̥̥̥̥ω°̥̥̥̥̥̥̥̥｀)みんな好き"
116,真琳ちゃん何気ない時さえも表情が良い。初ステージとは思えない肝が据わってる感。こりゃ大物になるぞ…
117,7:19- ここからしばらく聞いてて、サビ前の八木栞ちゃんとるのちゃん合わせた声の鋭さがほんとにとんでもない
118,"完成度半端ない！
新メン……凄くない！？
そして先輩方もパワーアップしてる！

鳥肌が……"
119,"ききちゃんの負けん気とか、卑しい部分とか隠さない感じ本当に好き。
私がセンターよって気持ちでずっと突っ走ってほしい！"
