,comment
82,まじで頭から離れん毎日頭の中で流れるから毎日聴きたくなって毎日聴いてる
83,"メディア露出が少なくて悲しいけど、芸能界に
たくさんのファンがいるのは事実！！！！"
84,曲も勿論良いんだけど、MVが好きで何回も見ちゃう。ハロプロ全体で見ても最近は気合入れてくれてて嬉しい。衣装も本人たちの体型に合わせて似合うのを割り振っている感じで好き。これからも流行に惑わされず、一人ひとりの魅力が引き立つような衣装やMVにしてくれると嬉しいです。
85,"15期の成長とんでもないし、まりあがかわいい女の子からどんどんきれいなお姉さんに進化している…好き。
めいちゃんの声質って特徴的だから、人数の多いグループにあっても目立つ良い武器だなぁ。好き。
まーちゃんはもはや言わずもがな、あゆみんって表現力こんなに凄い子だったっけ？一瞬の表情で惹き付けてくる。好き。
そしてかえでぃー素敵…かえでぃーやない、楓様や。好きです。"
86,まーちゃんって自分が映るとき「アイドル」としての自分を映すんじゃなくて、曲の登場人物として映ってる気がする。だから何度も何度もまーちゃん見ちゃうのわかる。そしてほまたんも今回そんな感じで曲の人物に憑依してる感すごい。だからソロなくてもすごく印象に残る。
87,歴代の曲を歌うのではなく、歌番組で今の曲をガンガン歌ってほしいい
88,"このMV見てるとすごい満足度高いんだよね
何でだろうと思ったら、カメラワークがゆっくりお顔やらを見せてくれてるからなんだろうなと思った
てか、メンバー皆がどのシーン切り取ってもお顔やら全部神なの本当にすごい"
89,この曲好きすぎて、ファン始めようか迷い中…
90,ちゃかちゃんの洞察力すごいし、どのシーンか一人ずつ言ってていうとこ、ちょっとこわいのうける😂
91,お揃いのお洋服着てるだけでも可愛いのに、フード被ったら更に可愛い！リーダー探す時の真剣な目も好きだけど、皆で、「あーでもないこーでもない」って言いながら笑い合ってるTravisJapanが平和で何より癒し！！！！！！！
92,"毎回思う事ですが……
Travis Japanは
悪ふざけしすぎる人がいないから、
途中で流れが
途切れてしまう事がなく、
テンポよく進むから、
観ていて本当に楽しいです(^∇^)"
93,"最年少元太くんに
「お前らヘタクソかぁ」って言われて
嬉しそうに笑う
お兄ちゃん達(^∇^)
本当に平和なグループで
大好きです(^∇^)"
94,"先週ので改めて ""毎週木曜日にワチャワチャしたトラジャを見れること""は当たり前じゃなくて奇跡だなって思った
もう皆が楽しそうにしてるだけで泣けてくるよ、、"
95,"元太くんが回答者の時に、元太くんの反応につられて笑う6人のお兄ちゃんたちという構図世界一平和で最高
元太くん、愛されてるねえ"
96,相変わらず「リーダーです」「リーダーじゃない」という園児に優しいカードが使われるTravis Japan最高です☺️スタッフさんも含めみんな可愛いんだよなぁ～
97,"Travis Japanの良さが全部出とる🥲
笑い合ってるみんなをこうやって見られるのが何より嬉しいな〜と 改めてJr.チャンネルを続ける選択をしてくれたことに感謝感謝です🥲"
98,いつも思いますが、のえさんの説明が丁寧でかわいい。優しく教えるところがすごく好き。さすがのえる先生。保育士を目指してる身としてお勉強になります。大学受験頑張ります。
99,"みんなで同じパーカー着て、同じ場所でわちゃわちゃして、リーダーってやっぱりちゃかだね。って言って、一緒にご飯食べる。
もう、見ている側にも幸せを与えてくれる良すぎるグループだよ。⸜(*˙꒳˙*)⸝♡"
100,ジャにのチャンネルにTravisJapanが出ててそこから気になり始めたんだけど、もしJr.チャンネル卒業してたら、みんなの個性の輝きを知ることがなかったかも🥺Jr.チャンネル続けてくれてありがとう。TravisJapanを見つけられてから毎日幸せです。ありがとう。
101,ひたむきに進む7人に素敵な未来が待っていますように。虎者2021を観劇しながら、この7人がジャニーズJr.でいるのもあと少しなんだろうな〜と思うと涙が出ました。TravisJapanのCDを買う日を楽しみにしてます。
102,動画を撮るのも大変な時には、何気ないお食事風景とか、楽屋でのひと時とか、そういうのでも構いません。トラジャがいてさえくれれば、どんな時間でもこちらは楽しめますので(*´꒳`*)
103,如恵留くん、罰ゲームが決まっても不満や否定的な言葉を口にせず大人な返しをして、改めて人間性が素晴らしいなと思いました。
104,トラジャが沢山のダンサーさん達とダンスを通して直に交流できる機会が増えたのはトラジャのパフォーマンスにも大きな好影響を及ぼしてると思います！！トラジャの表現力は一朝一夕では身につかないものだと思う。それがどんどんどんどん磨かれて行くのが本当に楽しみです！
105,なんかもう７人で笑っていてくれればそれだけで幸せだよ。温かくて優しくてこのグループ好きなれて良かったなあ。
106,スケジュールが過密になることも理解した上で続けてくれる事を選んでくれたんだね。感謝しかないし、その事がわかって、私達もより一層どちらのチャンネルも大切に大切にしたいと思いました。
107,"いつも7人に最終判断を委ねて下さる環境に感謝です。
いつも目の前のことに全力な7人にこれからも着いていきます。"
108,全員が本当に良い子達でよかった。皆がそれぞれの役割を上手にできてて、結果平和に治まってるってのが見えて安心する。
109,"ノエルくんとトリプルカイトと同じ歳2人の娘を持つTravisJapanの皆さんの親世代の者です。
YouTubeいつも親娘で楽しく見ています。皆さんの頑張り、本当にありがとうございます。
確実にTravisJapanの皆さんの活動がたくさんの人の心を日々幸せにしてくれていると思います。
雑誌やYouTubeを見たり、ブログを読んだり、毎日たくさんの幸せを貰っています。応援していて幸せな気分になります。
本当にTravisJapanは幸福度No.1グループだなーと思います。
これからも親娘でずっと応援していきたと思います。
ただ、お母さん目線で言うと、
ちゃんとご飯食べてるかな〜とかちゃんと睡眠とれてるかな〜とか心配しちゃいます。無理だけはしないでくださいね。"
110,"本当に本当に
配信をしてほしいです。
正直世間では、
ジャニーズに限らず
アイドルに対して
厳しい意見もあります。
当然、ジュニアに対しての意見も
厳しいものがあります。
だからこそ
この映像を流してもらえたらな……
Travis Japanのパフォーマンスを
もっともっと
地上波で披露する場がほしいです。
Travis Japanの
パフォーマンスを観れば、
世間のアイドルに対する目が、
変わると思います。
もっと要望を送らねば！"
111,"デビュー組担ですがうらやましくなるほどカッコいい曲だし歌いこなしているトラジャもすごい
特に松倉くん、普段の可愛いイメージとは180度違ったワイルドな表情とバチバチのラップにやられます、、
この曲でMステ出てほしい！"
112,これCD出してほしいなぁ。ここリピで聞くから問題ないっちゃーないんだけど。出してほしいなぁ。めっちゃカッコいいもん。これでジュニアなんだから、ほんと信じられない。それにこのMV、どのカットでもメンバーの魅力が溢れてる。素晴らしい。CD出してほしいなぁ。デビューしてほしいなぁ。
113,"虎者の余韻が抜けなくて毎日何回も再生してしまう…
BIG BANG BOYのダンス動画も見たいです🥲🙏お願いします🥲🙏"
114,"jrからいなくなるのはもったいないという気持ちもわかりますが…  報われてほしいなんてことじゃなく、もっと沢山の人に知って欲しい、世界を舞台に踊って欲しい、そう心から思えるグループです。
寅年はきっと、トラジャの年であると信じています🐯"
115,早く地上波でパフォーマンス観たいな！Mステ出して貰えないかな。こんなにかっこいい曲、トラジャ、みんなに観てもらいたい！
116,"先日虎者を観劇してきました。
圧倒的なパフォーマンス力と高い熱量のこもった舞台で見終わった後の充実感が凄まじかったです。
一緒に行ったのがトラジャ担ではない子だったのですが公演後「トラジャがすごいのは知ってたけどあんなにすごかったの！？あのすごさをもっと広めないともったいない！」とトランポリンやダンスなどをずっとベタ褒めしてました。
とても人気の公演で気軽に見に行けるものではないため実際に見ることは難しくても、配信という形でより多くの人に見て知ってもらう機会を作っていただきたいと強く感じました。関係者のみなさま、ぜひ配信のご検討をお願いします。"
117,音楽番組が多い中この新曲を披露出来ないことが悔しい！！披露したら絶対に魅了されるのに！！オリ曲も含めて地上波で披露が叶うように要望頑張る！！幸せな矢文！早く飛んできて！！
118,Travis Japanは英語詞を歌うのも上手なんだな…誰かが劣ってて目立つんじゃなくてみんな同じレベルで闘えるのが最大の強みだよね…ダンスもできて歌も上手くて英語詞も歌えて演出もできてマジでTravis Japan何ができないの？同じ人間？って毎回思うわ…その影には計り知れない努力があるんですよね
119,今日朝からネットニュースでTravisJapanの虎者の事が載ってて驚きました～メンバーの気迫あふれるコメントとか滝沢副社長にも意気込み伝えてる的な・・・来年はトラ年だし『デビュー』への熱い想いをはっきり言えるくらいの実力や自信を兼ねそなえたからこそなんだろうなあと胸が熱くなりました💚『TravisJapanは来年デビュー』信じてます💛
